,title,context,question,answers
0,Brain,"Another approach to brain function is to examine the consequences of damage to specific brain areas. Even though it is protected by the skull and meninges, surrounded by cerebrospinal fluid, and isolated from the bloodstream by the blood–brain barrier, the delicate nature of the brain makes it vulnerable to numerous diseases and several types of damage. In humans, the effects of strokes and other types of brain damage have been a key source of information about brain function. Because there is no ability to experimentally control the nature of the damage, however, this information is often difficult to interpret. In animal studies, most commonly involving rats, it is possible to use electrodes or locally injected chemicals to produce precise patterns of damage and then examine the consequences for behavior.",What sare the benifts of the blood brain barrir?,isolated from the bloodstream
1,Party_leaders_of_the_United_States_House_of_Representatives,"Devise Minority Party Strategies. The minority leader, in consultation with other party colleagues, has a range of strategic options that he or she can employ to advance minority party objectives. The options selected depend on a wide range of circumstances, such as the visibility or significance of the issue and the degree of cohesion within the majority party. For instance, a majority party riven by internal dissension, as occurred during the early 1900s when Progressive and ""regular"" Republicans were at loggerheads, may provide the minority leader with greater opportunities to achieve his or her priorities than if the majority party exhibited high degrees of party cohesion. Among the variable strategies available to the minority party, which can vary from bill to bill and be used in combination or at different stages of the lawmaking process, are the following:",How might a strategy for a minority party member vary?,visibility or significance of the issue and the degree of cohesion within the majority party
2,Florida,"Reapportionment following the 2010 United States Census gave the state two more seats in the House of Representatives. The legislature's redistricting, announced in 2012, was quickly challenged in court, on the grounds that it had unfairly benefited Republican interests. In 2015, the Florida Supreme Court ruled on appeal that the congressional districts had to be redrawn because of the legislature's violation of the Fair District Amendments to the state constitution passed in 2010; it accepted a new map in early December 2015.",What gave the house of representatives 2 more seats?,Reapportionment
3,Catalan_language,"Catalan is split in two major dialectal blocks: Eastern Catalan, and Western Catalan. The main difference lies in the treatment of unstressed a and e; which have merged to /ə/ in Eastern dialects, but which remain distinct as /a/ and /e/ in Western dialects. There are a few other differences in pronunciation, verbal morphology, and vocabulary.",Where is this an issue?,Catalan
4,Liberal_Party_of_Australia,"During McMahon's period in office, Neville Bonner joined the Senate and became the first Indigenous Australian in the Australian Parliament. Bonner was chosen by the Liberal Party to fill a Senate vacancy in 1971 and celebrated his maiden parliamentary speech with a boomerang throwing display on the lawns of Parliament. Bonner went on to win election at the 1972 election and served as a Liberal Senator for 12 years. He worked on Indigenous and social welfare issues and proved an independent minded Senator, often crossing the floor on Parliamentary votes.",What type of Senator was Bonner?,Liberal
5,Dwight_D._Eisenhower,"From 1920, Eisenhower served under a succession of talented generals – Fox Conner, John J. Pershing, Douglas MacArthur and George Marshall. He first became executive officer to General Conner in the Panama Canal Zone, where, joined by Mamie, he served until 1924. Under Conner's tutelage, he studied military history and theory (including Carl von Clausewitz's On War), and later cited Conner's enormous influence on his military thinking, saying in 1962 that ""Fox Conner was the ablest man I ever knew."" Conner's comment on Eisenhower was, ""[He] is one of the most capable, efficient and loyal officers I have ever met."" On Conner's recommendation, in 1925–26 he attended the Command and General Staff College at Fort Leavenworth, Kansas, where he graduated first in a class of 245 officers. He then served as a battalion commander at Fort Benning, Georgia, until 1927.",what is the last military rank mentioned?,battalion commander
6,Estonia,"Estonia has had a market economy since the end of the 1990s and one of the highest per capita income levels in Eastern Europe. Proximity to the Scandinavian markets, its location between the East and West, competitive cost structure and a highly skilled labour force have been the major Estonian comparative advantages in the beginning of the 2000s (decade). As the largest city, Tallinn has emerged as a financial centre and the Tallinn Stock Exchange joined recently with the OMX system. The current government has pursued tight fiscal policies, resulting in balanced budgets and low public debt.",Being in the same locale as the markets in this region of Europe has given the Eastern European country of Estonia an advantage with their financial success?,Scandinavian
7,Comprehensive_school,"A comprehensive school is a state school that does not select its intake on the basis of academic achievement or aptitude. This is in contrast to the selective school system, where admission is restricted on the basis of selection criteria. The term is commonly used in relation to England and Wales, where comprehensive schools were introduced on an experimental basis in the 1940s and became more widespread from 1965. About 90% of British secondary school pupils now attend comprehensive schools. They correspond broadly to the public high school in the United States and Canada and to the German Gesamtschule.[citation needed]",Which school system is most like a public school system in the US?,comprehensive schools
8,Sony_Music_Entertainment,"In March 2012, Sony Music reportedly closed its Philippines office due to piracy, causing to move distribution of SME in the Philippines to Ivory Music.",What did SME make?,Music
9,51st_state,"Several days after the referendum, the Resident Commissioner Pedro Pierluisi, Governor Luis Fortuño, and Governor-elect Alejandro García Padilla wrote separate letters to the President of the United States Barack Obama addressing the results of the voting. Pierluisi urged Obama to begin legislation in favor of the statehood of Puerto Rico, in light of its win in the referendum. Fortuño urged him to move the process forward. García Padilla asked him to reject the results because of their ambiguity. The White House stance related to the November 2012 plebiscite was that the results were clear, the people of Puerto Rico want the issue of status resolved, and a majority chose statehood in the second question. Former White House director of Hispanic media stated, ""Now it is time for Congress to act and the administration will work with them on that effort, so that the people of Puerto Rico can determine their own future.""",The Obama Administration maintained that most Puerto Ricans favored statehood and what?,the issue of status resolved
